,content,type
19,"Blow, blow, thou winter wind,
   Thou art not so unkind
      As mans ingratitude;
   Thy tooth is not so keen,
Because thou art not seen,
      Although thy breath be rude.
Heigh-ho! sing, heigh-ho! unto the green holly:
Most friendship is feigning, most loving mere folly:
   Then, heigh-ho, the holly!
      This life is most jolly.

   Freeze, freeze, thou bitter sky,
   That dost not bite so nigh
      As benefits forgot:
   Though thou the waters warp,
      Thy sting is not so sharp
      As friend remembered not.
Heigh-ho! sing, heigh-ho! unto the green holly...",Nature
20,"When daisies pied and violets blue
      And lady-smocks all silver-white
And cuckoo-buds of yellow hue
      Do paint the meadows with delight,
The cuckoo then, on every tree,
Mocks married men; for thus sings he: 
                                                    Cuckoo;
Cuckoo, cuckoo! O, word of fear,
Unpleasing to a married ear!

When shepherds pipe on oaten straws,
      And merry larks are ploughmen's clocks,
When turtles tread, and rooks, and daws,
      And maidens bleach their summer smocks,
The cuckoo then, on every tree,
Mocks married men; for thus sings he,
                                                    Cuckoo;
Cuckoo, cuckoo! O, word of fear,
Unpleasing to a married ear!

When icicles hang by the wall,
      And Dick the shepherd blows his nail,
And Tom bears logs into the hall,
      And milk comes frozen home in pail,
When blood is nipp'd, and ways be foul,
Then nightly sings the staring-owl,
                                                    Tu-who;
Tu-whit, tu-who!a merry note,
While greasy Joan doth keel the pot.

When all aloud the wind doth blow,
      And coughing drowns the parson's saw,
And birds sit brooding in the snow,
      And Marian's nose looks red and raw,
When roasted crabs hiss in the bowl,
Then nightly sings the staring owl,
                                                    Tu-who;
Tu-whit, tu-who!a merry note,
While greasy Joan doth keel the pot.",Nature
21,"When that I was and a little tiny boy,
    With hey, ho, the wind and the rain,
A foolish thing was but a toy,
    For the rain it raineth every day.

But when I came to mans estate,
    With hey, ho, the wind and the rain,
Gainst knaves and thieves men shut their gate,
    For the rain it raineth every day.

But when I came, alas! to wive,
    With hey, ho, the wind and the rain,
By swaggering could I never thrive,
    For the rain it raineth every day.

But when I came unto my beds,
    With hey, ho, the wind and the rain,
With toss-pots still had drunken heads,
    For the rain it raineth every day.

A great while ago the world begun,
    With hey, ho, the wind and the rain,
But thats all one, our play is done,
    And well strive to please you every day.",Nature
22,"From fairest creatures we desire increase,
That thereby beautys rose might never die,
But as the riper should by time decease,
His tender heir might bear his memory;
But thou, contracted to thine own bright eyes,
Feedst thy lights flame with self-substantial fuel,
Making a famine where abundance lies,
Thyself thy foe, to thy sweet self too cruel.
Though that art now the worlds fresh ornament
And only herald to the gaudy spring,
Within thine own bud buriest thy content,
And, tender churl, makst waste in niggarding.
   Pity the world, or else this glutton be,
   To eat the worlds due, by the grave and thee.",Nature
23,"Shall I compare thee to a summers day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summers lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or natures changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou owst;
Nor shall death brag thou wanderst in his shade,
When in eternal lines to time thou growst:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",Nature
24,"Spring, the sweet spring, is the years pleasant king,
Then blooms each thing, then maids dance in a ring,
Cold doth not sting, the pretty birds do sing:
      Cuckoo, jug-jug, pu-we, to-witta-woo!

The palm and may make country houses gay,
Lambs frisk and play, the shepherds pipe all day,
And we hear aye birds tune this merry lay:
      Cuckoo, jug-jug, pu-we, to-witta-woo!

The fields breathe sweet, the daisies kiss our feet,
Young lovers meet, old wives a-sunning sit,
In every street these tunes our ears do greet:
      Cuckoo, jug-jug, pu-we, to witta-woo!
            Spring, the sweet spring!",Nature
25,"When I was fair and young, then favor graced me.
Of many was I sought their mistress for to be.
But I did scorn them all and answered them therefore:
Go, go, go, seek some other where; importune me no more.

How many weeping eyes I made to pine in woe,
How many sighing hearts I have not skill to show,
But I the prouder grew and still this spake therefore:
Go, go, go, seek some other where, importune me no more.

Then spake fair Venus son, that proud victorious boy,
Saying: You dainty dame, for that you be so coy,
I will so pluck your plumes as you shall say no more:
Go, go, go, seek some other where, importune me no more.

As soon as he had said, such change grew in my breast
That neither night nor day I could take any rest.
Wherefore I did repent that I had said before:
Go, go, go, seek some other where, importune me no more.",Nature
26,"No crooked leg, no bleared eye,
No part deformed out of kind,
Nor yet so ugly half can be
As is the inward suspicious mind.",Nature
27,"Twice or thrice had I lov'd thee,
Before I knew thy face or name;
So in a voice, so in a shapeless flame
Angels affect us oft, and worshipp'd be;
         Still when, to where thou wert, I came,
Some lovely glorious nothing I did see.
         But since my soul, whose child love is,
Takes limbs of flesh, and else could nothing do,
         More subtle than the parent is
Love must not be, but take a body too;
         And therefore what thou wert, and who,
                I bid Love ask, and now
That it assume thy body, I allow,
And fix itself in thy lip, eye, and brow.

Whilst thus to ballast love I thought,
And so more steadily to have gone,
With wares which would sink admiration,
I saw I had love's pinnace overfraught;
         Ev'ry thy hair for love to work upon
Is much too much, some fitter must be sought;
         For, nor in nothing, nor in things
Extreme, and scatt'ring bright, can love inhere;
         Then, as an angel, face, and wings
Of air, not pure as it, yet pure, doth wear,
         So thy love may be my love's sphere;
                Just such disparity
As is 'twixt air and angels' purity,
'Twixt women's love, and men's, will ever be.",Nature
28,"With how sad steps, O Moon, thou climb'st the skies!
How silently, and with how wan a face!
What, may it be that even in heav'nly place
That busy archer his sharp arrows tries!
Sure, if that long-with love-acquainted eyes
Can judge of love, thou feel'st a lover's case,
I read it in thy looks; thy languish'd grace
To me, that feel the like, thy state descries.
Then, ev'n of fellowship, O Moon, tell me,
Is constant love deem'd there but want of wit?
Are beauties there as proud as here they be?
Do they above love to be lov'd, and yet
Those lovers scorn whom that love doth possess?
Do they call virtue there ungratefulness?",Nature
29,"When Nature made her chief work, Stella's eyes,
In colour black why wrapt she beams so bright?
Would she in beamy black, like painter wise,
Frame daintiest lustre, mix'd of shades and light?
Or did she else that sober hue devise,
In object best to knit and strength our sight;
Lest, if no veil these brave gleams did disguise,
They, sunlike, should more dazzle than delight?
Or would she her miraculous power show,
That, whereas black seems beauty's contrary,
She even in black doth make all beauties flow?
Both so, and thus, she, minding Love should be
Plac'd ever there, gave him this mourning weed
To honour all their deaths who for her bleed.",Nature
30,"Come live with me, and be my love,
And we will some new pleasures prove
Of golden sands, and crystal brooks,
With silken lines, and silver hooks.

There will the river whispering run
Warm'd by thy eyes, more than the sun;
And there the 'enamour'd fish will stay,
Begging themselves they may betray.

When thou wilt swim in that live bath,
Each fish, which every channel hath,
Will amorously to thee swim,
Gladder to catch thee, than thou him.

If thou, to be so seen, be'st loth,
By sun or moon, thou dark'nest both,
And if myself have leave to see,
I need not their light having thee.

Let others freeze with angling reeds,
And cut their legs with shells and weeds,
Or treacherously poor fish beset,
With strangling snare, or windowy net.

Let coarse bold hands from slimy nest
The bedded fish in banks out-wrest;
Or curious traitors, sleeve-silk flies,
Bewitch poor fishes' wand'ring eyes.

For thee, thou need'st no such deceit,
For thou thyself art thine own bait:
That fish, that is not catch'd thereby,
Alas, is wiser far than I.",Nature
31,"Our storm is past, and that storm's tyrannous rage,
A stupid calm, but nothing it, doth 'suage.
The fable is inverted, and far more
A block afflicts, now, than a stork before.
Storms chafe, and soon wear out themselves, or us;
In calms, Heaven laughs to see us languish thus.
As steady'as I can wish that my thoughts were,
Smooth as thy mistress' glass, or what shines there,
The sea is now; and, as the isles which we
Seek, when we can move, our ships rooted be.
As water did in storms, now pitch runs out;
As lead, when a fir'd church becomes one spout.
And all our beauty, and our trim, decays,
Like courts removing, or like ended plays.
The fighting-place now seamen's rags supply;
And all the tackling is a frippery.
No use of lanthorns; and in one place lay
Feathers and dust, to-day and yesterday.
Earth's hollownesses, which the world's lungs are,
Have no more wind than the upper vault of air.
We can nor lost friends nor sought foes recover,
But meteor-like, save that we move not, hover.
Only the calenture together draws
Dear friends, which meet dead in great fishes' jaws;
And on the hatches, as on altars, lies
Each one, his own priest, and own sacrifice.
Who live, that miracle do multiply,
Where walkers in hot ovens do not die.
If in despite of these we swim, that hath
No more refreshing than our brimstone bath;
But from the sea into the ship we turn,
Like parboil'd wretches, on the coals to burn.
Like Bajazet encag'd, the shepherds' scoff,
Or like slack-sinew'd Samson, his hair off,
Languish our ships. Now as a myriad
Of ants durst th' emperor's lov'd snake invade,
The crawling gallies, sea-gaols, finny chips,
Might brave our pinnaces, now bed-rid ships.
Whether a rotten state, and hope of gain,
Or to disuse me from the queasy pain
Of being belov'd and loving, or the thirst
Of honour, or fair death, out-push'd me first,
I lose my end; for here, as well as I,
A desperate may live, and a coward die.
Stag, dog, and all which from or towards flies,
Is paid with life or prey, or doing dies.
Fate grudges us all, and doth subtly lay
A scourge, 'gainst which we all forget to pray.
He that at sea prays for more wind, as well
Under the poles may beg cold, heat in hell.
What are we then? How little more, alas,
Is man now, than before he was? He was
Nothing; for us, we are for nothing fit;
Chance, or ourselves, still disproportion it.
We have no power, no will, no sense; I lie,
I should not then thus feel this misery.",Nature
32,"Where, like a pillow on a bed
         A pregnant bank swell'd up to rest
The violet's reclining head,
         Sat we two, one another's best.
Our hands were firmly cemented
         With a fast balm, which thence did spring;
Our eye-beams twisted, and did thread
         Our eyes upon one double string;
So to'intergraft our hands, as yet
         Was all the means to make us one,
And pictures in our eyes to get
         Was all our propagation.
As 'twixt two equal armies fate
         Suspends uncertain victory,
Our souls (which to advance their state
         Were gone out) hung 'twixt her and me.
And whilst our souls negotiate there,
         We like sepulchral statues lay;
All day, the same our postures were,
         And we said nothing, all the day.
If any, so by love refin'd
         That he soul's language understood,
And by good love were grown all mind,
         Within convenient distance stood,
He (though he knew not which soul spake,
         Because both meant, both spake the same)
Might thence a new concoction take
         And part far purer than he came.
This ecstasy doth unperplex,
         We said, and tell us what we love;
We see by this it was not sex,
         We see we saw not what did move;
But as all several souls contain
         Mixture of things, they know not what,
Love these mix'd souls doth mix again
         And makes both one, each this and that.
A single violet transplant,
         The strength, the colour, and the size,
(All which before was poor and scant)
         Redoubles still, and multiplies.
When love with one another so
         Interinanimates two souls,
That abler soul, which thence doth flow,
         Defects of loneliness controls.
We then, who are this new soul, know
         Of what we are compos'd and made,
For th' atomies of which we grow
         Are souls, whom no change can invade.
But oh alas, so long, so far,
         Our bodies why do we forbear?
They'are ours, though they'are not we; we are
         The intelligences, they the spheres.
We owe them thanks, because they thus
         Did us, to us, at first convey,
Yielded their senses' force to us,
         Nor are dross to us, but allay.
On man heaven's influence works not so,
         But that it first imprints the air;
So soul into the soul may flow,
            Though it to body first repair.
As our blood labors to beget
         Spirits, as like souls as it can,
Because such fingers need to knit
         That subtle knot which makes us man,
So must pure lovers' souls descend
         T' affections, and to faculties,
Which sense may reach and apprehend,
         Else a great prince in prison lies.
To'our bodies turn we then, that so
         Weak men on love reveal'd may look;
Love's mysteries in souls do grow,
         But yet the body is his book.
And if some lover, such as we,
         Have heard this dialogue of one,
Let him still mark us, he shall see
         Small change, when we'are to bodies gone.",Nature
33,"No spring nor summer beauty hath such grace
         As I have seen in one autumnal face.
Young beauties force our love, and that's a rape,
         This doth but counsel, yet you cannot scape.
If 'twere a shame to love, here 'twere no shame;
         Affection here takes reverence's name.
Were her first years the golden age? That's true,
         But now she's gold oft tried and ever new.
That was her torrid and inflaming time,
         This is her tolerable tropic clime.
Fair eyes, who asks more heat than comes from hence,
         He in a fever wishes pestilence.
Call not these wrinkles, graves; if graves they were,
         They were Love's graves, for else he is no where.
Yet lies not Love dead here, but here doth sit
         Vow'd to this trench, like an anachorit;
And here till hers, which must be his death, come,
         He doth not dig a grave, but build a tomb.
Here dwells he; though he sojourn ev'rywhere
         In progress, yet his standing house is here:
Here where still evening is, not noon nor night,
         Where no voluptuousness, yet all delight.
In all her words, unto all hearers fit,
         You may at revels, you at council, sit.
This is Love's timber, youth his underwood;
         There he, as wine in June, enrages blood,
Which then comes seasonabliest when our taste
         And appetite to other things is past.
Xerxes' strange Lydian love, the platan tree,
         Was lov'd for age, none being so large as she,
Or else because, being young, nature did bless
         Her youth with age's glory, barrenness.
If we love things long sought, age is a thing
         Which we are fifty years in compassing;
If transitory things, which soon decay,
         Age must be loveliest at the latest day.
But name not winter faces, whose skin's slack,
         Lank as an unthrift's purse, but a soul's sack;
Whose eyes seek light within, for all here's shade;
         Whose mouths are holes, rather worn out than made;
Whose every tooth to a several place is gone,
         To vex their souls at resurrection:
Name not these living death's-heads unto me,
         For these, not ancient, but antique be.
I hate extremes, yet I had rather stay
         With tombs than cradles, to wear out a day.
Since such love's natural lation is, may still
         My love descend, and journey down the hill,
Not panting after growing beauties. So,
         I shall ebb on with them who homeward go.",Nature
34,"Here take my picture; though I bid farewell
Thine, in my heart, where my soul dwells, shall dwell.
'Tis like me now, but I dead, 'twill be more
When we are shadows both, than 'twas before.
When weather-beaten I come back, my hand
Perhaps with rude oars torn, or sun beams tann'd,
My face and breast of haircloth, and my head
With care's rash sudden storms being o'erspread,
My body'a sack of bones, broken within,
And powder's blue stains scatter'd on my skin;
If rival fools tax thee to'have lov'd a man
So foul and coarse as, oh, I may seem then,
This shall say what I was, and thou shalt say,
""Do his hurts reach me? doth my worth decay?
Or do they reach his judging mind, that he
Should now love less, what he did love to see?
That which in him was fair and delicate,
Was but the milk which in love's childish state
Did nurse it; who now is grown strong enough
To feed on that, which to disus'd tastes seems tough.""",Nature
35,"Thou hast made me, and shall thy work decay?
Repair me now, for now mine end doth haste,
I run to death, and death meets me as fast,
And all my pleasures are like yesterday;
I dare not move my dim eyes any way,
Despair behind, and death before doth cast
Such terror, and my feebled flesh doth waste
By sin in it, which it towards hell doth weigh.
Only thou art above, and when towards thee
By thy leave I can look, I rise again;
But our old subtle foe so tempteth me,
That not one hour I can myself sustain;
Thy grace may wing me to prevent his art,
And thou like adamant draw mine iron heart.",Nature
36,"Since I am coming to that holy room,
         Where, with thy choir of saints for evermore,
I shall be made thy music; as I come
         I tune the instrument here at the door,
         And what I must do then, think here before.

Whilst my physicians by their love are grown
         Cosmographers, and I their map, who lie
Flat on this bed, that by them may be shown
         That this is my south-west discovery,
      Per fretum febris, by these straits to die,

I joy, that in these straits I see my west;
         For, though their currents yield return to none,
What shall my west hurt me? As west and east
         In all flat maps (and I am one) are one,
         So death doth touch the resurrection.

Is the Pacific Sea my home? Or are
         The eastern riches? Is Jerusalem?
Anyan, and Magellan, and Gibraltar,
         All straits, and none but straits, are ways to them,
         Whether where Japhet dwelt, or Cham, or Shem.

We think that Paradise and Calvary,
         Christ's cross, and Adam's tree, stood in one place;
Look, Lord, and find both Adams met in me;
         As the first Adam's sweat surrounds my face,
         May the last Adam's blood my soul embrace.

So, in his purple wrapp'd, receive me, Lord;
         By these his thorns, give me his other crown;
And as to others' souls I preach'd thy word,
         Be this my text, my sermon to mine own:
""Therefore that he may raise, the Lord throws down.""",Nature
37,"My galley, charged with forgetfulness,
Thorough sharp seas in winter nights doth pass
'Tween rock and rock; and eke mine en'my, alas,
That is my lord, steereth with cruelness;
And every owre a thought in readiness,
As though that death were light in such a case.
An endless wind doth tear the sail apace
Of forced sighs and trusty fearfulness.
A rain of tears, a cloud of dark disdain,
Hath done the weared cords great hinderance;
Wreathed with error and eke with ignorance.
The stars be hid that led me to this pain;
Drowned is Reason that should me comfort,
And I remain despairing of the port.",Nature
